invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ccl28	4	0.003637	0.0042115	0.328108	51	1	1.6471	0.0078394	0.015623	0.581756	93	2	1.6471
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Lamtor1	2	0.0037214	0.004967	0.379928	52	2	-4.1208	0.99628	0.99707	1.0	3722	0	-4.1208
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Gm2436_Gm2446	3	0.0038732	0.0075746	0.482842	53	3	-1.971	0.99613	0.99733	1.0	3719	0	-1.971
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Gstm1	4	0.0041054	0.0082053	0.482842	54	3	-2.5102	0.99792	0.99888	1.0	3731	0	-2.5102
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Plg	4	0.0042472	0.008476	0.482842	55	3	-2.4385	0.98	0.98517	1.0	3638	0	-2.4385
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Tcf7l1	4	0.0043888	0.0084783	0.482842	56	2	-1.0517	0.089103	0.16111	0.95468	668	2	-1.0517
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Shoc2	4	0.0044439	0.0085607	0.482842	57	2	-2.3583	0.45414	0.52605	1.0	1841	1	-2.3583
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Sipa1	4	0.0046237	0.0086384	0.482842	58	2	-1.8529	0.92008	0.92643	1.0	3392	0	-1.8529
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Il2ra	4	0.0047128	0.0088619	0.482842	59	1	-0.4713	0.22615	0.32709	1.0	1241	1	-0.4713
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Mcm2	4	0.004734	0.0088619	0.482842	60	3	-2.7342	0.96527	0.97187	1.0	3574	0	-2.7342
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Vdac2	4	0.0048286	0.0088643	0.482842	61	3	-2.2009	0.13029	0.20439	0.994088	843	1	-2.2009
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Il12rb1	4	0.0048423	0.0088643	0.482842	62	3	-2.7535	0.79601	0.81259	1.0	2914	0	-2.7535
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ugt2b5	2	0.0048775	0.0061696	0.455359	63	2	-2.1139	0.99512	0.99584	1.0	3712	0	-2.1139
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Smn1	4	0.0048807	0.0088643	0.482842	64	3	-2.5657	0.92323	0.93172	1.0	3405	0	-2.5657
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Cyc1	4	0.0049816	0.009029	0.482842	65	1	0.071128	0.63184	0.64927	1.0	2323	1	0.071128
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Atg12	4	0.0050391	0.0090314	0.482842	66	3	-2.5373	0.9943	0.99629	1.0	3705	0	-2.5373
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Rpe	4	0.0050837	0.0090314	0.482842	67	3	-2.8985	0.74498	0.7651	1.0	2720	0	-2.8985
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Cenpn	4	0.0052503	0.0091279	0.482842	68	1	-0.28863	0.63855	0.65385	1.0	2341	1	-0.28863
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Sap18b	2	0.005321	0.0083583	0.482842	69	1	-2.2601	0.65574	0.66105	1.0	2404	0	-2.2601
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	H2bc22	4	0.0054683	0.0095656	0.482842	70	3	-2.4691	0.63691	0.65243	1.0	2336	1	-2.4691
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Gmpr2	4	0.005519	0.0095656	0.482842	71	1	-0.94296	0.57911	0.61178	1.0	2148	1	-0.94296
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	H2-K1	4	0.0055272	0.0095656	0.482842	72	3	-3.1263	0.99092	0.99393	1.0	3687	0	-3.1263
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Upf3b	4	0.0057876	0.0096551	0.482842	73	2	-1.2046	0.67133	0.68654	1.0	2458	1	-1.2046
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Sema6a	4	0.0059797	0.0096574	0.482842	74	3	-2.0365	0.99735	0.99848	1.0	3728	0	-2.0365
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Sdhd	4	0.0060495	0.0096574	0.482842	75	3	-2.1184	0.98333	0.98874	1.0	3657	0	-2.1184
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Papss2	4	0.0062803	0.0098669	0.482842	76	3	-2.6542	0.44449	0.52155	1.0	1817	1	-2.6542
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ifna9	4	0.0063131	0.0101	0.482842	77	3	-2.1142	0.94782	0.95681	1.0	3497	0	-2.1142
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Fzd9	4	0.0063247	0.0101	0.482842	78	2	-1.4491	0.08824	0.16032	0.95468	663	1	-1.4491
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Znhit2	4	0.0064821	0.010472	0.487395	79	3	-2.6705	0.15599	0.243	1.0	957	1	-2.6705
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Rbx1	3	0.0065614	0.0096103	0.482842	80	1	0.86177	0.16598	0.24415	1.0	1003	2	0.86177
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Fbxo6	4	0.0065932	0.010721	0.487395	81	1	0.45301	0.27703	0.40114	1.0	1427	2	0.45301
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Gm15459_Gm6210_Gm7899_Hspa8	1	0.0067107	0.0030513	0.277122	82	1	-5.4727	0.99329	0.99695	1.0	3701	0	-5.4727
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Psmd13	4	0.0067867	0.011112	0.487395	83	3	-2.4519	0.98625	0.9903	1.0	3669	0	-2.4519
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Nckap1l	4	0.0068616	0.011474	0.487395	84	2	-2.505	0.9728	0.97761	1.0	3609	0	-2.505
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Dhx33	4	0.0069385	0.011583	0.487395	85	3	-2.6629	0.99481	0.997	1.0	3711	0	-2.6629
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Aph1a_Gm15429	2	0.0070691	0.0094174	0.482842	86	1	-3.2814	0.94921	0.96115	1.0	3505	0	-3.2814
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Mcl1	4	0.0071056	0.011686	0.487395	87	2	-2.6279	0.97344	0.97886	1.0	3611	0	-2.6279
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Tslp	4	0.00713	0.011686	0.487395	88	2	-1.4988	0.83593	0.84267	1.0	3084	0	-1.4988
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Erbb3	4	0.0073464	0.011797	0.487395	89	2	-1.2248	0.87504	0.88169	1.0	3219	0	-1.2248
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Dll1	4	0.0073983	0.011799	0.487395	90	1	0.74283	0.16851	0.25782	1.0	1013	1	0.74283
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Tyms	4	0.0074004	0.011799	0.487395	91	2	-2.8963	0.99871	0.99938	1.0	3739	0	-2.8963
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Daxx	4	0.0075091	0.011886	0.487395	92	2	-2.6105	0.11832	0.18584	0.95468	794	1	-2.6105
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Gm46174_Gm6485_H3f3b	1	0.007655	0.0039997	0.323781	93	1	-5.3498	0.99235	0.996	1.0	3695	0	-5.3498
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Rbm48	4	0.0076665	0.012119	0.487395	94	1	-0.39326	0.9426	0.95019	1.0	3474	0	-0.39326
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	H2ac15_H2ac8	2	0.007836	0.010081	0.482842	95	2	-3.39	0.99216	0.99381	1.0	3694	0	-3.39
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ube2d3	4	0.0079192	0.012121	0.487395	96	3	-2.3643	0.9944	0.99658	1.0	3706	0	-2.3643
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	C1rb	3	0.0079207	0.013484	0.491316	97	2	-2.4327	0.99006	0.99347	1.0	3686	0	-2.4327
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ung	4	0.0079347	0.012121	0.487395	98	1	-1.1814	0.43276	0.51259	1.0	1795	1	-1.1814
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Tuba1b_Tuba1c_Tuba8	1	0.0079922	0.0040021	0.323781	99	1	-4.8098	0.99201	0.996	1.0	3692	0	-4.8098
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Irf3	4	0.0081199	0.01251	0.487395	100	2	-2.7107	0.93011	0.93659	1.0	3433	0	-2.7107
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Lamtor3	2	0.0081373	0.010545	0.487395	101	2	-3.2451	0.99186	0.99334	1.0	3690	0	-3.2451
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Oprd1	4	0.0082029	0.012512	0.487395	102	1	0.029311	0.29475	0.4322	1.0	1498	1	0.029311
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Spata13	4	0.0082049	0.012512	0.487395	103	2	-2.1595	0.99578	0.99739	1.0	3718	0	-2.1595
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Akr1b7	4	0.008471	0.012872	0.491316	104	2	-1.4061	0.89716	0.90399	1.0	3306	0	-1.4061
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Nup210	4	0.008856	0.013468	0.491316	105	3	-2.0774	0.9956	0.99728	1.0	3716	0	-2.0774
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Nt5c3	4	0.0089595	0.01347	0.491316	106	2	-1.6141	0.70269	0.71393	1.0	2577	1	-1.6141
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Atp5c1	4	0.009007	0.01347	0.491316	107	2	-1.1272	0.49055	0.54392	1.0	1913	1	-1.1272
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Pik3r3	4	0.0091007	0.013778	0.491316	108	3	-1.9807	0.99829	0.99906	1.0	3736	0	-1.9807
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Cxcr4	4	0.0092581	0.013778	0.491316	109	2	-2.1901	0.6725	0.68654	1.0	2463	1	-2.1901
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ngf	4	0.0092749	0.013778	0.491316	110	2	-1.301	0.5142	0.56047	1.0	1971	1	-1.301
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	H3c2_H3c3_H3c7	2	0.0094871	0.013724	0.491316	111	1	-3.0709	0.90293	0.91951	1.0	3327	0	-3.0709
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ehmt1	4	0.0095428	0.013781	0.491316	112	2	-1.8905	0.97679	0.98196	1.0	3627	0	-1.8905
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Tnfaip3	4	0.009869	0.014105	0.498669	113	2	-1.7803	0.80032	0.81692	1.0	2933	0	-1.7803
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	H4f16	4	0.010151	0.01789	0.604152	114	3	-2.1014	0.6646	0.67917	1.0	2441	1	-2.1014
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Cox7b	4	0.010339	0.018344	0.604152	115	2	-1.7199	0.81367	0.82481	1.0	2982	0	-1.7199
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Fth1	4	0.010346	0.018344	0.604152	116	1	0.65541	0.42211	0.50787	1.0	1770	1	0.65541
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	H4c11_H4c17_H4c18_H4c8	1	0.010353	0.0059954	0.450407	117	1	-4.6338	0.98965	0.994	1.0	3684	0	-4.6338
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Riok2	4	0.010466	0.018963	0.613671	118	3	-3.0442	0.73715	0.75385	1.0	2698	0	-3.0442
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Dsg1a_Dsg1b	3	0.010786	0.015856	0.546786	119	1	-1.2639	0.80544	0.81335	1.0	2951	0	-1.2639
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Tas2r115	4	0.010881	0.0197	0.615217	120	1	-0.54098	0.64542	0.65822	1.0	2369	1	-0.54098
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Fxyd1	4	0.010884	0.0197	0.615217	121	2	-1.3582	0.1906	0.28553	1.0	1097	1	-1.3582
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ndufb11	4	0.011149	0.019702	0.615217	122	2	-0.79216	0.10499	0.17455	0.95468	738	2	-0.79216
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Atp5a1	4	0.01131	0.020194	0.615217	123	2	-2.7165	0.727	0.74094	1.0	2674	0	-2.7165
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Adprm	4	0.011416	0.020196	0.615217	124	2	-0.83161	0.90286	0.9081	1.0	3326	0	-0.83161
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Aldh3b2_Aldh3b3	2	0.01142	0.014823	0.519678	125	2	-1.7193	0.98858	0.99076	1.0	3676	0	-1.7193
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Gucy2f	4	0.011443	0.020354	0.615217	126	2	-2.4423	0.98109	0.98613	1.0	3643	0	-2.4423
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Csl	4	0.011529	0.020354	0.615217	127	3	-2.4741	0.83037	0.8385	1.0	3058	0	-2.4741
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Gpc4	4	0.011684	0.020479	0.615217	128	2	-1.2017	0.9293	0.93659	1.0	3430	0	-1.2017
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ppp3r2	4	0.011757	0.020481	0.615217	129	3	-1.8599	0.38925	0.49338	1.0	1694	1	-1.8599
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Nectin2	4	0.011951	0.021354	0.615217	130	1	-0.43337	0.65934	0.6716	1.0	2418	1	-0.43337
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Arpc2	4	0.012219	0.021844	0.615217	131	1	-0.74327	0.84156	0.84865	1.0	3100	0	-0.74327
invivo.poolA_BM_mCD19_15m_v_BM_hEGFRv3_15m.gene_summary.txt	Ndufs7	4	0.012219	0.021844	0.615217	132	3	-2.5235	0.7898	0.8078	1.0	2890	0	-2.5235
